Grupo;Grupo_Nome;EAP;Descricao;Pavimento;Mes_Inicio;Mes_Fim;Custo;Hh
1;SERVIÇOS PRELIMINARES E GERAIS;1.1.X;Limpeza periódica + EPI + ferramental + consumo de água/luz;1º;1;1;33300;0
1;SERVIÇOS PRELIMINARES E GERAIS;1.1.1;Locação convencional de obra (gabarito + pranchões);1º;1;1;5245.97;31.9
1;SERVIÇOS PRELIMINARES E GERAIS;1.1.2;Barracão de obra em chapa compensada (escritório+almox+vestiário);1º;1;1;11025;80
1;SERVIÇOS PRELIMINARES E GERAIS;1.1.3;Placa de obra em chapa galvanizada 4,00 × 2,00 m;1º;1;1;387;1
1;SERVIÇOS PRELIMINARES E GERAIS;1.1.4;Ligação provisória de água, energia e esgoto;1º;1;1;3688;8
1;SERVIÇOS PRELIMINARES E GERAIS;1.1.5;Instalações sanitárias provisórias (sanitário químico + lavatório);1º;1;1;2600;8
2;MOVIMENTO DE TERRA E FUNDAÇÕES;2.1.1;Escavação Mecanizada - Terraplanagem;1º;1;2;8500;17
2;MOVIMENTO DE TERRA E FUNDAÇÕES;2.1.3;Retroescavadeira - Movimentação de Terra da Helice;1º;1;2;8400;0.7
2;MOVIMENTO DE TERRA E FUNDAÇÕES;2.1.4;Estaca hélice contínua ø40 cm  e 50 cm;1º;1;2;52351.43;223.8
2;MOVIMENTO DE TERRA E FUNDAÇÕES;2.1.5;Concreto usinado fck 25 MPa estrutural, bombeado, slump 100±20;1º;1;2;29160;0
2;MOVIMENTO DE TERRA E FUNDAÇÕES;2.1.6;Aço Estaca - Comprado pronto;1º;1;2;21660.12;5.5
2;MOVIMENTO DE TERRA E FUNDAÇÕES;2.1.7;Arrasamento de estacas;1º;1;2;8320;114.4
2;MOVIMENTO DE TERRA E FUNDAÇÕES;2.1.8;Escavação manual em material 1ª categoria (até 1,50 m);1º;1;2;14593.5;283.8
2;MOVIMENTO DE TERRA E FUNDAÇÕES;2.1.9;Bloco de coroamento concreto armado fck 25 MPa;1º;1;2;43262.14;10
2;MOVIMENTO DE TERRA E FUNDAÇÕES;2.1.10;Viga baldrame de concreto armado fck 25 MPa, seção 20×40 cm;1º;1;2;30443.55;8.3
2;MOVIMENTO DE TERRA E FUNDAÇÕES;2.1.11;Lastro de concreto magro fck 10 MPa, e=5 cm;1º;1;2;7259;67.3
2;MOVIMENTO DE TERRA E FUNDAÇÕES;2.1.12;Impermeabilização baldrame com emulsão asfáltica (2 demãos);1º;1;2;1312;21.4
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.1.1;Armação aço CA-50 incl. corte, dobra, montagem e perdas;1º;2;4;7976.4;124.8
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.1.2;Concreto usinado fck 25 MPa estrutural, bombeado, slump 100±20;1º;2;4;3929.24;10.4
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.1.3;Lançamento, adensamento e acabamento de concreto estrutural;1º;2;4;212.41;47.7
